ticker,PHO US Equity,CHIM US Equity,KCE US Equity,ICLN US Equity,SPGP US Equity,FIW US Equity,IHF US Equity,PBD US Equity,IAI US Equity,SMH US Equity,XMHQ US Equity,XSD US Equity,QCLN US Equity,PICK US Equity,EWY US Equity,ARKG US Equity,PSI US Equity,MXI US Equity,KORU US Equity,LIT US Equity,ARKK US Equity,UGE US Equity,FAN US Equity,COPX US Equity,ARKQ US Equity,GRID US Equity,RTM US Equity,PBW US Equity,FXZ US Equity,YLCO US Equity
2019-04-29,34.6,16.87,57.6249,10.12,55.04,52.52,164.95,12.41,64.01,115.2,50.735,86.11,21.0134,31.06,62.07,33.32,57.6196,65.5,27.2917,27.77,47.79,45.1253,13.2,21.89,34.66,45.9592,107.5306,28.56,38.8502,13.0
2019-04-30,34.6634,16.5905,57.3939,10.16,55.11,52.64,163.56,12.42,63.83,116.25,50.7241,86.62,20.9623,30.82,61.48,32.71,58.06,65.7,26.6,27.61,47.22,45.8097,13.36,21.58,34.6156,46.1728,108.1897,28.29,38.7551,12.9599
2019-05-01,34.39,16.605,56.9343,10.12,54.88,52.27,163.17,12.365,63.23,115.36,50.1867,85.96,20.89,30.3,61.0,32.38,57.66,64.7,25.97,27.25,46.78,44.9067,13.29,21.12,34.32,46.54,106.0925,28.42,38.2,12.96
2019-05-02,34.46,16.3246,56.78,10.065,54.69,52.105,164.05,12.2855,63.16,116.45,50.005,86.93,20.96,30.17,61.42,32.55,57.99,64.43,26.47,27.8,47.01,44.7443,13.04,20.75,34.58,45.6537,106.37,28.33,37.97,12.8886
2019-05-03,34.9318,16.675,57.5522,10.22,55.48,53.27,164.73,12.472999999999999,63.94,117.49,50.665,87.96,21.48,30.79,61.44,33.41,58.99,65.2,26.44,28.29,48.39,45.3647,13.2068,21.24,35.39,46.1155,107.685,28.884,38.9008,12.9896
2019-05-06,34.65,16.14,57.3776,10.06,55.22,52.88,168.21,12.24,64.18,115.61,50.5235,86.4921,21.2101,30.37,60.37,33.99,57.99,64.5,25.11,27.89,48.82,44.8928,13.06,20.79,35.05,45.88,106.3292,28.5,38.4,13.037
2019-05-07,34.2717,15.685,56.2928,10.12,53.99,52.13,165.61,12.308,63.27,112.97,49.7595,84.86,21.12,29.87,59.3,32.61,57.06,63.05,23.76,27.73,47.3,43.8444,12.94,20.19,34.39,45.8612,104.805,28.84,37.8367,12.679
2019-05-08,34.14,15.6845,56.07,10.08,54.1,51.8222,166.03,12.2523,63.04,112.16,49.6557,84.58,20.88,29.71,59.44,32.07,56.54,62.99,23.89,27.37,46.43,43.8883,12.9599,20.13,33.86,46.0823,104.4472,28.3,37.57,12.6539
2019-05-09,34.15,15.37,55.91,10.0,53.99,51.86,165.89,12.113,63.2,110.58,49.5978,83.56,20.63,29.41,57.56,31.83,55.8,62.42,21.68,27.09,46.03,43.5776,12.873,19.86,33.51,45.748999999999995,103.8869,27.94,37.4981,12.6329
2019-05-10,34.16,15.53,56.08,10.08,54.12,52.01,166.98,12.1868,63.42,110.46,49.6724,83.93,20.5596,29.7101,57.75,32.02,56.01,63.21,21.8,27.18,46.24,44.0466,12.9565,19.98,33.59,45.2595,104.56,28.16,37.71,12.8199
2019-05-13,33.54,14.91,54.1751,9.8,52.47,50.95,164.16,11.8196,61.68,105.34,48.4724,79.39,19.75,28.68,55.61,30.12,53.1,61.45,19.36,26.08,43.69,42.9357,12.690999999999999,19.16,32.02,44.3619,101.96,27.19,36.5348,12.6
